fazenda,data,pluvio_id,tipo,mm_bruto,mm
RDM,2026-08-17,RDM-101,pivo,0.0,0.0
RDM,2026-08-17,RDM-102,pivo,0.0,0.0
RDM,2026-08-17,RDM-103,pivo,0.0,0.0
RDM,2026-08-17,RDM-104,pivo,0.0,0.0
RDM,2026-08-17,RDM-105,pivo,0.0,0.0
RDM,2026-08-17,RDM-106,pivo,0.0,0.0
RDM,2026-08-17,RDM-107,pivo,0.0,0.0
RDM,2026-08-17,RDM-108,pivo,0.0,0.0
RDM,2026-08-17,RDM-109,pivo,0.0,0.0
RDM,2026-08-17,RDM-110,pivo,0.0,0.0
RDM,2026-08-17,RDM-112,pivo,0.0,0.0
RDM,2026-08-17,RDM-113,pivo,0.0,0.0
RDM,2026-08-17,RDM-114,pivo,0.0,0.0
RDM,2026-08-17,RDM-115,pivo,0.0,0.0
RDM,2026-08-17,RDM-116,pivo,0.0,0.0
RDM,2026-08-17,RDM-117,pivo,0.0,0.0
RDM,2026-08-17,RDM-118,pivo,0.0,0.0
RDM,2026-08-17,RDM-119,pivo,0.0,0.0
RDM,2026-08-17,RDM-120,pivo,0.0,0.0
RDM,2026-08-17,RDM-121,pivo,0.0,0.0
RDM,2026-08-17,RDM-122,pivo,0.0,0.0
RDM,2026-08-17,RDM-123,pivo,0.0,0.0
RDM,2026-08-17,RDM-124,pivo,0.0,0.0
RDM,2026-08-17,RDM-125,pivo,0.9,0.9
RDM,2026-08-17,RDM-126,pivo,0.0,0.0
RDM,2026-08-17,RDM-127,pivo,0.0,0.0
RDM,2026-08-17,RDM-128,pivo,0.0,0.0
RDM,2026-08-17,RDM-129,pivo,0.0,0.0
RDM,2026-08-17,RDM-130,pivo,0.0,0.0
RDM,2026-08-17,RDM-131,pivo,0.0,0.0
RDM,2026-08-17,RDM-132,pivo,0.0,0.0
RDM,2026-08-17,RDM-133,pivo,0.0,0.0
RDM,2026-08-17,RDM-SC17D8,estacao,0.0,0.0
RDM,2026-08-17,RDM-SC1A38,estacao,0.0,0.0
RDM,2026-08-17,RDM-SC1A4C,estacao,0.0,0.0
RDM,2026-08-17,RDM-SC1AA8,estacao,0.0,0.0
RDM,2026-08-17,RDM-SC1B34,estacao,0.0,0.0
RDM,2026-08-17,RDM-SC1BA8,estacao,0.0,0.0
RDM,2026-08-16,RDM-101,pivo,0.0,0.0
RDM,2026-08-16,RDM-102,pivo,0.0,0.0
RDM,2026-08-16,RDM-103,pivo,0.0,0.0
RDM,2026-08-16,RDM-104,pivo,0.0,0.0
